frame,label,area,centroid_x,centroid_y
0,0,2440,30.24876976,21.02090073
0,1,114,55.88596344,4.517543793
0,2,4564,40.95902634,73.56069183
0,3,1511,142.1105194,9.919920921
0,4,0,0.0,0.0
0,5,3176,225.5538483,40.60925674
0,6,2989,287.7601318,27.13248634
0,7,2830,329.3791504,35.58763123
0,8,3321,371.8861694,64.24992371
0,9,1640,418.805481,18.72012138
0,10,2579,460.1721497,27.06863213
0,11,1172,498.8489685,22.73549461
0,12,2998,170.080719,48.80887222
0,13,2621,248.9622345,73.87256622
0,14,2759,419.4284058,76.75063324
0,15,1281,498.5566101,69.0
0,16,2529,107.4835892,82.4942627
0,17,5625,293.4309387,109.8101349
0,18,1855,193.4447479,100.7450104
0,19,1935,154.4206696,103.6201553
0,20,2808,471.8094788,85.61859131
0,21,4386,362.9364014,132.8068848
0,22,2632,224.0771332,126.9065323
0,23,2899,36.82338715,126.030014
0,24,3542,101.9898376,131.1928253
0,25,1275,493.8141174,129.3215637
0,26,1276,11.33150482,155.4224091
0,27,3791,163.2015228,157.511734
0,28,4508,311.0346069,174.6927643
0,29,10179,430.3791199,164.0618896
0,30,4421,240.1456757,184.6186371
0,31,3042,57.14431381,176.8067017
0,32,4678,107.2958527,203.6314697
0,33,4293,186.6794739,216.5397186
0,34,3928,356.9544373,217.573822
0,35,603,10.50082874,193.2786102
0,36,3529,27.0379715,233.1323395
0,37,3765,279.2879028,233.0690613
0,38,1854,457.766449,236.642395
0,39,3878,409.5729675,262.4494629
0,40,3634,221.6774902,275.3783569
0,41,4835,293.8897705,281.7940063
0,42,4437,164.1070557,284.8257751
0,43,3529,362.9407654,287.5080872
0,44,5203,93.10263062,309.3974609
0,45,4213,24.13671875,310.7828064
0,46,3004,446.6651001,323.4800415
0,47,1849,489.3693848,321.3607483
0,48,3901,336.5931702,343.1022949
0,49,2628,398.3782349,335.9916382
0,50,4178,144.968399,350.0265808
0,51,4667,263.4197693,340.2864685
0,52,3093,203.4713898,349.9582825
0,53,6817,56.14625168,379.2283936
0,54,954,502.4549255,363.0796509
0,55,2936,473.9233704,384.0166931
0,56,2534,422.0722046,382.021698
0,57,4453,285.6550598,397.4430847
0,58,6795,362.2728577,414.3592224
